Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
51.43 s,-4.04 m,5.29 m,0.47 m,0.09 m/s,0.07 m/s,-0.00 m/s,0.002934985912207948,0.0001330426555574484,-0.013593002,-46 pixels,N/A,N/A,N/A
51.55 s,-4.03 m,5.30 m,0.47 m,0.09 m/s,0.08 m/s,-0.00 m/s,0.0030718178467132777,-0.006685372,-0.013527728,-44 pixels,N/A,N/A,N/A
51.67 s,-4.02 m,5.31 m,0.47 m,0.09 m/s,0.08 m/s,-0.00 m/s,0.0030759817925722697,-0.002051965,-0.0135823,-43 pixels,N/A,N/A,N/A
51.79 s,-4.01 m,5.32 m,0.47 m,0.09 m/s,0.07 m/s,-0.00 m/s,0.003201319705458581,0.009867424266934339,-0.013669662,-41 pixels,N/A,N/A,N/A
51.91 s,-3.99 m,5.33 m,0.47 m,0.09 m/s,0.06 m/s,-0.00 m/s,0.003204093691783866,0.013385603095955989,-0.01365746,-35 pixels,N/A,N/A,N/A
52.03 s,-3.98 m,5.33 m,0.47 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.0032776903505305774,0.0022774563573640274,-0.013614258,-30 pixels,N/A,N/A,N/A
52.15 s,-3.97 m,5.34 m,0.47 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.0032043643831530266,0.0005712058632502799,-0.013641717,-28 pixels,N/A,N/A,N/A
52.27 s,-3.96 m,5.35 m,0.47 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.003177964976142346,0.00547579266544007,-0.013643678,-29 pixels,N/A,N/A,N/A
52.39 s,-3.95 m,5.35 m,0.47 m,0.10 m/s,0.04 m/s,-0.00 m/s,0.0031117815900101554,0.01251770675432146,-0.013683634,-27 pixels,N/A,N/A,N/A
52.52 s,-3.94 m,5.36 m,0.47 m,0.10 m/s,0.03 m/s,-0.00 m/s,0.0030432631787250383,0.012346222828896403,-0.01366131,-23 pixels,N/A,N/A,N/A
52.64 s,-3.93 m,5.36 m,0.47 m,0.10 m/s,0.02 m/s,-0.00 m/s,0.002926546112609936,0.005080666809396068,-0.01366741,-20 pixels,N/A,N/A,N/A
52.77 s,-3.92 m,5.36 m,0.47 m,0.10 m/s,0.02 m/s,-0.00 m/s,0.002851389241346573,0.005124423447409711,-0.013683515,-19 pixels,N/A,N/A,N/A
52.89 s,-3.91 m,5.36 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0027559136467754115,0.008814328070862585,-0.013765301,-20 pixels,N/A,N/A,N/A
53.01 s,-3.90 m,5.36 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0025212023644267277,0.007668609856536884,-0.013786851,-19 pixels,N/A,N/A,N/A
53.13 s,-3.89 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0023993703093337787,0.001447468014668157,-0.013625925,-18 pixels,N/A,N/A,N/A
53.25 s,-3.88 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0021456090880488956,0.000338199486405759,-0.013671528,-17 pixels,N/A,N/A,N/A
53.37 s,-3.87 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0020681150343891635,0.0020779877955409524,-0.013635146,-18 pixels,N/A,N/A,N/A
53.49 s,-3.86 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.001914309414901626,0.005492810400595926,-0.013684753,-19 pixels,N/A,N/A,N/A
53.61 s,-3.85 m,5.36 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.001850577366293231,0.005165929605343192,-0.013684635,-19 pixels,N/A,N/A,N/A
53.73 s,-3.84 m,5.36 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0016790854639454665,-0.001546753,-0.013578245,-19 pixels,N/A,N/A,N/A
53.85 s,-3.83 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0016711736880669575,-0.003392219,-0.013570027,-18 pixels,N/A,N/A,N/A
53.97 s,-3.82 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0015878986198817778,-0.001301245,-0.013580559,-20 pixels,N/A,N/A,N/A
54.09 s,-3.81 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0016647275775303803,0.002670364066214271,-0.013624832,-21 pixels,N/A,N/A,N/A
54.21 s,-3.79 m,5.36 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0017074344961689478,0.004918090105259439,-0.013729784,-22 pixels,N/A,N/A,N/A
54.33 s,-3.78 m,5.36 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0017618481414650026,0.002382346339011497,-0.01369625,-21 pixels,N/A,N/A,N/A
54.45 s,-3.77 m,5.35 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0017731488520159263,-0.004351199,-0.013698241,-20 pixels,N/A,N/A,N/A
54.56 s,-3.76 m,5.35 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.0017891831929434257,-0.004480147,-0.013696012,-20 pixels,N/A,N/A,N/A
54.68 s,-3.75 m,5.36 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0018261117889058277,-0.000591755,-0.013809323,-20 pixels,N/A,N/A,N/A
54.8 s,-3.74 m,5.36 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0018644681948046442,0.002750385520875368,-0.013810859,-22 pixels,N/A,N/A,N/A
54.92 s,-3.73 m,5.36 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.001989656670192822,0.001992037012519237,-0.013779516,-23 pixels,N/A,N/A,N/A
55.04 s,-3.72 m,5.36 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0020368126254151062,-0.005819059,-0.013724034,-22 pixels,N/A,N/A,N/A
55.15 s,-3.71 m,5.36 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002057089729440451,-0.007416937,-0.013608215,-21 pixels,N/A,N/A,N/A
55.27 s,-3.70 m,5.36 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0019331318589992318,-0.003341283,-0.013727335,-20 pixels,N/A,N/A,N/A
55.41 s,-3.69 m,5.36 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0019692477621616796,0.002590119510758846,-0.013695852,-22 pixels,N/A,N/A,N/A
55.53 s,-3.68 m,5.37 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0019586780860260003,0.002346164899312275,-0.013619711,-22 pixels,N/A,N/A,N/A
55.65 s,-3.67 m,5.37 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002103203150879675,-0.002853796,-0.013574988,-21 pixels,N/A,N/A,N/A
55.77 s,-3.66 m,5.37 m,0.47 m,0.10 m/s,0.03 m/s,0.00 m/s,0.0022338125306550403,-0.0022052,-0.013592382,-19 pixels,N/A,N/A,N/A
55.89 s,-3.65 m,5.37 m,0.47 m,0.10 m/s,0.03 m/s,0.00 m/s,0.0023943290969872383,0.002108141725671589,-0.013642594,-17 pixels,N/A,N/A,N/A
56.02 s,-3.63 m,5.38 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0024615984589852467,0.0030036549219827065,-0.013555373,-17 pixels,N/A,N/A,N/A
56.14 s,-3.62 m,5.38 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0023787646886937663,-0.00111818,-0.013561895,-17 pixels,N/A,N/A,N/A
56.26 s,-3.61 m,5.38 m,0.47 m,0.10 m/s,0.03 m/s,0.00 m/s,0.002419172599196544,-0.001554869,-0.013567513,-16 pixels,N/A,N/A,N/A
56.38 s,-3.60 m,5.39 m,0.47 m,0.10 m/s,0.03 m/s,0.00 m/s,0.0023521647647483357,0.0013825938981733366,-0.013601177,-14 pixels,N/A,N/A,N/A
56.51 s,-3.59 m,5.39 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.00249374046730354,0.004951624606231531,-0.013674486,-12 pixels,N/A,N/A,N/A
56.63 s,-3.58 m,5.39 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0025628267064981038,0.004779706637260693,-0.013608151,-13 pixels,N/A,N/A,N/A
56.76 s,-3.57 m,5.39 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002551182252678995,0.0027615908599154873,-0.013628708,-12 pixels,N/A,N/A,N/A
56.88 s,-3.56 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0024341521155493684,0.0027906179410883713,-0.013601203,-11 pixels,N/A,N/A,N/A
57.01 s,-3.55 m,5.40 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0023259031416708897,0.004307586045055637,-0.013547195,-9 pixels,N/A,N/A,N/A
57.13 s,-3.54 m,5.40 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0022841440394993696,0.005191577849017984,-0.01356212,-7 pixels,N/A,N/A,N/A
57.25 s,-3.53 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.0021799765290033196,0.005087739938502843,-0.013647031,-7 pixels,N/A,N/A,N/A
57.36 s,-3.52 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.002207706555079518,0.004529521363985887,-0.013674417,-7 pixels,N/A,N/A,N/A
57.48 s,-3.51 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0021251395469977776,0.003989438770811914,-0.013713995,-6 pixels,N/A,N/A,N/A
57.61 s,-3.49 m,5.40 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0021360949283315404,0.003355470753549736,-0.013745255,-5 pixels,N/A,N/A,N/A
57.73 s,-3.48 m,5.40 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0020100435709101785,0.0028967229877752848,-0.013746066,-5 pixels,N/A,N/A,N/A
57.85 s,-3.47 m,5.40 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0020082012350402098,0.002338416081433598,-0.013802324,-4 pixels,N/A,N/A,N/A
57.97 s,-3.46 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0019426030885419216,0.0019760687361045893,-0.013849754,-4 pixels,N/A,N/A,N/A
58.1 s,-3.45 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.001921162069293659,0.0016689376067403076,-0.013763492,-4 pixels,N/A,N/A,N/A
58.22 s,-3.44 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0019007705350356893,0.00131262927453594,-0.013742493,-5 pixels,N/A,N/A,N/A
58.34 s,-3.43 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0017376845475147733,0.0011379700833213946,-0.013729022,-5 pixels,N/A,N/A,N/A
58.46 s,-3.42 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0017278012120515217,0.000923914411765907,-0.013717732,-6 pixels,N/A,N/A,N/A
58.58 s,-3.41 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0016827464250560792,0.000859150045358224,-0.013670409,-6 pixels,N/A,N/A,N/A
58.7 s,-3.40 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0018420077100709772,0.0007016568493901153,-0.013637431,-6 pixels,N/A,N/A,N/A
58.82 s,-3.38 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0018077238580702188,0.0007969395877538678,-0.013587898,-7 pixels,N/A,N/A,N/A
58.94 s,-3.37 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0018601895512257618,0.0006113030824377994,-0.013561191,-7 pixels,N/A,N/A,N/A
59.06 s,-3.36 m,5.39 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0017256096632062583,0.0006075826884596908,-0.013588736,-8 pixels,N/A,N/A,N/A
59.19 s,-3.35 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0017378257944816167,0.000522250367622809,-0.013575475,-8 pixels,N/A,N/A,N/A
59.32 s,-3.34 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0016948139633271493,0.0005180428925982276,-0.013605678,-9 pixels,N/A,N/A,N/A
59.44 s,-3.33 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0017565220875144236,0.0006658416173615593,-0.013595557,-9 pixels,N/A,N/A,N/A
59.56 s,-3.32 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.001942718426899443,0.000657294354910533,-0.013586155,-9 pixels,N/A,N/A,N/A
59.69 s,-3.31 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0019822902822040104,0.0008353322849296973,-0.013607931,-9 pixels,N/A,N/A,N/A
59.81 s,-3.30 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0021580594738254554,0.0008438867483631721,-0.013620775,-10 pixels,N/A,N/A,N/A
59.93 s,-3.28 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0020053128036938853,0.0009998492847605076,-0.013634578,-10 pixels,N/A,N/A,N/A
60.06 s,-3.27 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.002118975173229509,0.0010290023009731654,-0.013621231,-10 pixels,N/A,N/A,N/A
60.18 s,-3.26 m,5.38 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.002083230160206572,0.0011280453358557105,-0.013729941,-10 pixels,N/A,N/A,N/A
60.3 s,-3.25 m,5.38 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00209344205632803,0.0012349647580760545,-0.013636032,-10 pixels,N/A,N/A,N/A
60.42 s,-3.24 m,5.38 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.002074244864448272,0.0011881622601961322,-0.013720683,-11 pixels,N/A,N/A,N/A
60.53 s,-3.23 m,5.38 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0020345102786538845,-0.000509641,-0.01363383,-11 pixels,N/A,N/A,N/A
60.65 s,-3.22 m,5.38 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001996452023287375,-0.003828444,-0.013565428,-11 pixels,N/A,N/A,N/A
60.77 s,-3.21 m,5.38 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0019230334639168897,-0.003203723,-0.013658056,-11 pixels,N/A,N/A,N/A
60.89 s,-3.20 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0020258303446600684,-0.001744951,-0.013685654,-11 pixels,N/A,N/A,N/A
61.01 s,-3.19 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0020079889144570535,0.0004334140977596426,-0.013635137,-11 pixels,N/A,N/A,N/A
61.12 s,-3.18 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0020889704291541405,0.002233038555611809,-0.01356224,-11 pixels,N/A,N/A,N/A
61.25 s,-3.16 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.001983093036989237,0.0009576206238951457,-0.013589651,-11 pixels,N/A,N/A,N/A
61.37 s,-3.15 m,5.39 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0019518704993387855,-0.001723361,-0.013625663,-11 pixels,N/A,N/A,N/A
61.49 s,-3.14 m,5.39 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002007526302476327,-0.001037832,-0.013658837,-11 pixels,N/A,N/A,N/A
61.6 s,-3.13 m,5.40 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002082668604335545,0.0003664144263150381,-0.013594911,-12 pixels,N/A,N/A,N/A
61.72 s,-3.12 m,5.40 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002247241161881707,0.0022553081301417994,-0.013663426,-12 pixels,N/A,N/A,N/A
61.84 s,-3.11 m,5.40 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002324850183520443,0.0015217208330499808,-0.01367586,-11 pixels,N/A,N/A,N/A
61.96 s,-3.10 m,5.40 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.002447389453501918,-0.001708966,-0.013726421,-10 pixels,N/A,N/A,N/A
62.08 s,-3.09 m,5.40 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0023981812295010437,0.0002843777344427351,-0.013895536,-9 pixels,N/A,N/A,N/A
62.2 s,-3.08 m,5.41 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0024788632028608162,0.00278133316371232,-0.013584675,-8 pixels,N/A,N/A,N/A
62.32 s,-3.07 m,5.41 m,0.47 m,0.10 m/s,0.02 m/s,0.00 m/s,0.0024730892330256465,0.003668780737864475,-0.013612928,-8 pixels,N/A,N/A,N/A
62.44 s,-3.06 m,5.41 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.002548720758996467,0.0037398630471450643,-0.013775349,-8 pixels,N/A,N/A,N/A
62.56 s,-3.05 m,5.41 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0025454799022690874,0.0035817791419840003,-0.013793786,-8 pixels,N/A,N/A,N/A
62.68 s,-3.03 m,5.41 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.0024716136854845546,0.003344382356515559,-0.013761824,-7 pixels,N/A,N/A,N/A
62.8 s,-3.02 m,5.41 m,0.47 m,0.10 m/s,0.01 m/s,0.00 m/s,0.002415987549629956,0.003020953632012613,-0.013782111,-6 pixels,N/A,N/A,N/A
62.91 s,-3.01 m,5.41 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.0022923888000029573,0.0028030658624944426,-0.013839985,-5 pixels,N/A,N/A,N/A
63.03 s,-3.00 m,5.41 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.0022224193929112806,0.0024644394904374894,-0.013812654,-5 pixels,N/A,N/A,N/A
63.15 s,-2.99 m,5.41 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.0020706653457561704,0.002339564710456605,-0.013952193,-5 pixels,N/A,N/A,N/A
63.27 s,-2.98 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.002152533515121757,0.002163858471375164,-0.013905463,-3 pixels,N/A,N/A,N/A
63.39 s,-2.97 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0020980341997917295,0.002122556799430476,-0.013908706,-2 pixels,N/A,N/A,N/A
63.51 s,-2.96 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0021180053360595865,0.0019931582763873697,-0.013894494,-1 pixels,N/A,N/A,N/A
63.63 s,-2.95 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0020053942410836055,0.0019780316885485093,-0.013848857,-1 pixels,N/A,N/A,N/A
63.76 s,-2.94 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0019942527769682772,0.0019912662154188024,-0.01382522,0 pixels,N/A,N/A,N/A
63.88 s,-2.92 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0019369324934470965,0.0019227156750315415,-0.013833291,0 pixels,N/A,N/A,N/A
64.0 s,-2.91 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.001906491174907922,0.0019348899104548788,-0.013760353,0 pixels,N/A,N/A,N/A
64.12 s,-2.90 m,5.41 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0018794363508895181,0.0018656353691722002,-0.013826951,0 pixels,N/A,N/A,N/A
64.24 s,-2.89 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0016530056012085265,0.0018599509811085292,-0.013821348,0 pixels,N/A,N/A,N/A
64.36 s,-2.88 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0015868650436437124,0.001807118468145645,-0.013833247,0 pixels,N/A,N/A,N/A
64.48 s,-2.87 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0016132776668524081,0.001746559321240471,-0.013771943,0 pixels,N/A,N/A,N/A
64.61 s,-2.86 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.001777997518757132,0.0016308886615091674,-0.013769712,0 pixels,N/A,N/A,N/A
64.73 s,-2.85 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.0018743347765866531,0.0015528031649960426,-0.013870524,0 pixels,N/A,N/A,N/A
64.85 s,-2.84 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.002012038801025312,0.00143551183581788,-0.01376173,0 pixels,N/A,N/A,N/A
64.98 s,-2.83 m,5.41 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0020145879684152425,0.001187263473551447,-0.013759056,0 pixels,N/A,N/A,N/A
65.1 s,-2.81 m,5.40 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0020425997281130035,0.0010325992961903766,-0.01368724,0 pixels,N/A,N/A,N/A
65.21 s,-2.80 m,5.40 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0020576288912086188,0.0007596709240300837,-0.01366724,0 pixels,N/A,N/A,N/A
65.33 s,-2.79 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.001960445402246982,0.0006953616758791078,-0.013669469,0 pixels,N/A,N/A,N/A
65.45 s,-2.78 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0019386435592464368,0.0006007934730082373,-0.013662878,0 pixels,N/A,N/A,N/A
65.57 s,-2.77 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.001887911518162594,0.0006853268522051761,-0.013678866,-1 pixels,N/A,N/A,N/A
65.69 s,-2.76 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0018869228347829262,0.0006019165148695423,-0.013687634,-1 pixels,N/A,N/A,N/A
65.81 s,-2.75 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0017098268943277145,0.0007889646829800016,-0.013677626,-1 pixels,N/A,N/A,N/A
65.92 s,-2.74 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0018401526954275587,0.000789067133817467,-0.013728723,-1 pixels,N/A,N/A,N/A
66.04 s,-2.73 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.001758378362244231,0.0008705748451895474,-0.013709538,-1 pixels,N/A,N/A,N/A
66.16 s,-2.72 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0018816500125550285,0.0008576245117355252,-0.013705202,-2 pixels,N/A,N/A,N/A
66.28 s,-2.71 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001774163212886531,0.0009836335676631175,-0.013724517,-2 pixels,N/A,N/A,N/A
66.4 s,-2.70 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0018035310681776017,0.0010049689334950273,-0.013711679,-3 pixels,N/A,N/A,N/A
66.52 s,-2.69 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0016153352098363738,0.001175978867289377,-0.013738807,-3 pixels,N/A,N/A,N/A
66.63 s,-2.68 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001620366795521478,0.0013019516878498563,-0.013722189,-3 pixels,N/A,N/A,N/A
66.75 s,-2.66 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00165104014091039,0.0013270987941823307,-0.013831106,-3 pixels,N/A,N/A,N/A
66.87 s,-2.65 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001764407658127871,0.0014439333616735768,-0.013739728,-3 pixels,N/A,N/A,N/A
66.98 s,-2.64 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0019156155682355017,0.0013212909410700666,-0.013813891,-4 pixels,N/A,N/A,N/A
67.1 s,-2.63 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001966557045096717,0.001406921503852872,-0.013776962,-4 pixels,N/A,N/A,N/A
67.22 s,-2.62 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0020716467273209577,0.0012771103066532448,-0.013781455,-4 pixels,N/A,N/A,N/A
67.34 s,-2.61 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.001961942905553434,0.0013493286798084243,-0.013763022,-4 pixels,N/A,N/A,N/A
67.46 s,-2.60 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0020810354231988,0.0012790273802906033,-0.013804536,-4 pixels,N/A,N/A,N/A
67.58 s,-2.59 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.002068918053632647,0.0013263048239702192,-0.013797063,-4 pixels,N/A,N/A,N/A
67.7 s,-2.58 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0022458443428869813,0.0012452763538437987,-0.013829841,-4 pixels,N/A,N/A,N/A
67.81 s,-2.57 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0021922334007619636,0.001283232564311837,-0.013859569,-4 pixels,N/A,N/A,N/A
67.93 s,-2.56 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0022644767323731856,0.001247597644917303,-0.013865526,-4 pixels,N/A,N/A,N/A
68.05 s,-2.55 m,5.40 m,0.47 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.0020900886987424857,0.0013205110807751233,-0.013843909,-4 pixels,N/A,N/A,N/A
68.19 s,-2.54 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.002032769577828516,0.0013234979889340428,-0.01383664,-4 pixels,N/A,N/A,N/A
68.32 s,-2.53 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0019568253592496263,0.0013214835622995602,-0.013890433,-4 pixels,N/A,N/A,N/A
68.45 s,-2.52 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.0020367389431639937,0.0013332718651010314,-0.013774376,-4 pixels,N/A,N/A,N/A
68.58 s,-2.51 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.002240269063613148,0.0012916010441278488,-0.013891761,-4 pixels,N/A,N/A,N/A
68.7 s,-2.50 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0022000727961790883,0.0013933773790403897,-0.013879203,-4 pixels,N/A,N/A,N/A
68.83 s,-2.48 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0021975535312415747,0.0013633653495345851,-0.013904522,-6 pixels,N/A,N/A,N/A
68.95 s,-2.47 m,5.40 m,0.47 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.0019501668339022833,0.001365985113347463,-0.013855412,-5 pixels,N/A,N/A,N/A
