Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
11.73 s,-4.81 m,7.97 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016725050372245968,-0.00234848,-1.578808558,-11 pixels,N/A,N/A,N/A
11.85 s,-4.81 m,7.96 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.001696757286177506,-0.001962022,-1.578852064,-12 pixels,N/A,N/A,N/A
11.97 s,-4.81 m,7.95 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0016623898518723433,-0.000626439,-1.57885565,-11 pixels,N/A,N/A,N/A
12.09 s,-4.80 m,7.94 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0017438509961859947,0.0012383955508529407,-1.578870102,-11 pixels,N/A,N/A,N/A
12.21 s,-4.80 m,7.93 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018270408901928646,0.0009105189835073177,-1.578913409,-10 pixels,N/A,N/A,N/A
12.32 s,-4.80 m,7.93 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.001962432756692495,-0.000205601,-1.578972122,-10 pixels,N/A,N/A,N/A
12.44 s,-4.80 m,7.92 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.0019423157927310412,0.0014416918587549614,-1.578988403,-9 pixels,N/A,N/A,N/A
12.56 s,-4.80 m,7.91 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.0021567435211273956,0.0023970325998767692,-1.57894579,-9 pixels,N/A,N/A,N/A
12.68 s,-4.80 m,7.90 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.0022464886357271507,0.002724612525089587,-1.579019401,-8 pixels,N/A,N/A,N/A
12.8 s,-4.80 m,7.89 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0024403292467408606,0.0027085935993208846,-1.57910452,-8 pixels,N/A,N/A,N/A
12.92 s,-4.80 m,7.88 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.002455266646153288,0.002559532259517859,-1.579110949,-8 pixels,N/A,N/A,N/A
13.04 s,-4.80 m,7.87 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0025251291531166197,0.002371728394592406,-1.579166659,-8 pixels,N/A,N/A,N/A
13.18 s,-4.80 m,7.86 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0024711232586350092,0.0022067725746386757,-1.579149712,-8 pixels,N/A,N/A,N/A
13.31 s,-4.80 m,7.85 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0023742067209357705,0.0021095858914496625,-1.579191179,-8 pixels,N/A,N/A,N/A
13.43 s,-4.80 m,7.84 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.002309216984684007,0.0019515154543854104,-1.57915681,-8 pixels,N/A,N/A,N/A
13.56 s,-4.80 m,7.83 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0022928941574322887,0.0017640213149973335,-1.579211345,-8 pixels,N/A,N/A,N/A
13.69 s,-4.80 m,7.82 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002236583897469911,0.0017230009663728272,-1.579263683,-8 pixels,N/A,N/A,N/A
13.82 s,-4.80 m,7.81 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002140576276368443,0.001539311891575376,-1.579306214,-8 pixels,N/A,N/A,N/A
13.94 s,-4.80 m,7.80 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021205186414877063,0.0015551190154085113,-1.57925091,-8 pixels,N/A,N/A,N/A
14.07 s,-4.80 m,7.79 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021237629221661646,0.0014108409502438758,-1.579330887,-8 pixels,N/A,N/A,N/A
14.2 s,-4.80 m,7.78 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021022724059107396,0.0014298419531747094,-1.579363077,-8 pixels,N/A,N/A,N/A
14.32 s,-4.80 m,7.77 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001984794241333299,0.0013351790204770902,-1.579442955,-8 pixels,N/A,N/A,N/A
14.45 s,-4.80 m,7.76 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019972036523214706,0.0013534878339134698,-1.579478993,-8 pixels,N/A,N/A,N/A
14.57 s,-4.80 m,7.75 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019871175876054487,0.0012102322141653,-1.579554906,-8 pixels,N/A,N/A,N/A
