Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
33.6 s,2.40 m,-4.52 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.72 s,2.41 m,-4.52 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.84 s,2.42 m,-4.51 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.96 s,2.43 m,-4.51 m,0.48 m,0.09 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.08 s,2.44 m,-4.50 m,0.48 m,0.09 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.2 s,2.45 m,-4.50 m,0.48 m,0.09 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.32 s,2.46 m,-4.49 m,0.48 m,0.09 m/s,0.05 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.45 s,2.47 m,-4.49 m,0.48 m,0.09 m/s,0.05 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.56 s,2.48 m,-4.48 m,0.48 m,0.09 m/s,0.05 m/s,0.00 m/s,0.00 rad,-0.00 rad,0.78 rad,0 pixels
34.68 s,2.49 m,-4.48 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,-0.00 rad,0.78 rad,0 pixels
34.8 s,2.49 m,-4.47 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
34.92 s,2.50 m,-4.47 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.04 s,2.51 m,-4.46 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.16 s,2.52 m,-4.45 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.29 s,2.53 m,-4.45 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.41 s,2.53 m,-4.44 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.52 s,2.54 m,-4.44 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.65 s,2.55 m,-4.43 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.76 s,2.56 m,-4.43 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
35.89 s,2.56 m,-4.42 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.01 s,2.57 m,-4.41 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.13 s,2.58 m,-4.41 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.25 s,2.59 m,-4.40 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.37 s,2.60 m,-4.39 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.5 s,2.60 m,-4.39 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.64 s,2.61 m,-4.38 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
36.76 s,2.62 m,-4.37 m,0.48 m,0.08 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
