Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
193.63 s,-4.80 m,-5.62 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017280503389099774,0.001839912771887466,-1.58084748,-42 pixels,N/A,N/A,N/A
193.75 s,-4.80 m,-5.63 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001719558767118655,0.001858475139781554,-1.580938822,-41 pixels,N/A,N/A,N/A
193.92 s,-4.80 m,-5.65 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018254529356026322,0.0018185360446521042,-1.581022944,-41 pixels,N/A,N/A,N/A
193.98 s,-4.80 m,-5.65 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018798845924095575,0.001765289649707433,-1.581068324,-40 pixels,N/A,N/A,N/A
194.11 s,-4.80 m,-5.66 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019132368724699463,0.0016947328996430228,-1.581119215,-39 pixels,N/A,N/A,N/A
194.23 s,-4.80 m,-5.67 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018549803422183858,0.0016922984002847366,-1.5811945,-38 pixels,N/A,N/A,N/A
194.33 s,-4.80 m,-5.68 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001896708090649624,0.0016227687758999076,-1.581242549,-38 pixels,N/A,N/A,N/A
194.46 s,-4.80 m,-5.69 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018782933294138444,0.0016557517468481183,-1.58132666,-37 pixels,N/A,N/A,N/A
194.57 s,-4.80 m,-5.70 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019203121567268448,0.0016318514724706125,-1.581350624,-36 pixels,N/A,N/A,N/A
194.69 s,-4.80 m,-5.71 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018616264642928003,0.0016871980847164173,-1.581410204,-36 pixels,N/A,N/A,N/A
194.8 s,-4.80 m,-5.72 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019848460844278013,0.0015756553649219794,-1.581482207,-35 pixels,N/A,N/A,N/A
194.92 s,-4.80 m,-5.73 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.001996100023577782,0.0016226864077085272,-1.581519498,-34 pixels,N/A,N/A,N/A
195.05 s,-4.80 m,-5.74 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0021050414420229688,0.001521651263233782,-1.581573512,-34 pixels,N/A,N/A,N/A
195.16 s,-4.80 m,-5.75 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0020265233437629982,0.0015733309240039885,-1.58161051,-33 pixels,N/A,N/A,N/A
195.29 s,-4.80 m,-5.76 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.002085842359546258,0.0013977678886253737,-1.581644165,-32 pixels,N/A,N/A,N/A
195.41 s,-4.80 m,-5.77 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.001978345367998181,0.0013483481643818522,-1.581710365,-32 pixels,N/A,N/A,N/A
195.52 s,-4.80 m,-5.78 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.002046089951554874,0.001188680144988435,-1.581748552,-31 pixels,N/A,N/A,N/A
195.64 s,-4.80 m,-5.79 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019107937385788255,0.0011497109104340343,-1.581839004,-30 pixels,N/A,N/A,N/A
195.74 s,-4.80 m,-5.80 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019329980856816983,0.001047337138749186,-1.581886783,-29 pixels,N/A,N/A,N/A
195.85 s,-4.80 m,-5.81 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018314638587995566,0.001012006051958885,-1.5819015,-28 pixels,N/A,N/A,N/A
195.97 s,-4.80 m,-5.82 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019076239282634175,0.0009626849098985703,-1.582032308,-28 pixels,N/A,N/A,N/A
196.09 s,-4.81 m,-5.83 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017761530247811291,0.0009805198619749803,-1.582103064,-27 pixels,N/A,N/A,N/A
196.22 s,-4.81 m,-5.84 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018274440373829022,0.0010098796881047414,-1.582156822,-26 pixels,N/A,N/A,N/A
196.33 s,-4.81 m,-5.85 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017044544300750498,0.0010227333492795253,-1.582217315,-25 pixels,N/A,N/A,N/A
196.46 s,-4.81 m,-5.86 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018823581433511033,0.000996832031158513,-1.582264101,-24 pixels,N/A,N/A,N/A
196.59 s,-4.81 m,-5.87 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018523945701471067,0.0010113321046457946,-1.582310481,-23 pixels,N/A,N/A,N/A
196.7 s,-4.81 m,-5.88 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002019650265352424,0.0009930611594163982,-1.582364023,-22 pixels,N/A,N/A,N/A
196.87 s,-4.81 m,-5.89 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002051671648070728,0.0010962948582961657,-1.582486446,-21 pixels,N/A,N/A,N/A
196.93 s,-4.81 m,-5.90 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002103041001163034,0.00114958759537021,-1.582482354,-20 pixels,N/A,N/A,N/A
197.04 s,-4.81 m,-5.90 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020922968988851117,0.001199387794509499,-1.582513724,-19 pixels,N/A,N/A,N/A
197.16 s,-4.81 m,-5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002233899566365979,0.0012127326399723128,-1.582554477,-18 pixels,N/A,N/A,N/A
197.27 s,-4.81 m,-5.92 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002088278523679132,0.0013524820133970835,-1.582608013,-17 pixels,N/A,N/A,N/A
197.38 s,-4.81 m,-5.93 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002083978441440596,0.0013865110647997853,-1.582714364,-16 pixels,N/A,N/A,N/A
197.51 s,-4.81 m,-5.94 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002100033075311294,0.0014875437138285124,-1.582804276,-15 pixels,N/A,N/A,N/A
197.63 s,-4.81 m,-5.95 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002151844980894568,0.0014889512802338544,-1.582881263,-13 pixels,N/A,N/A,N/A
197.75 s,-4.81 m,-5.96 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020741648640604606,0.0015674555635482343,-1.582913362,-12 pixels,N/A,N/A,N/A
197.87 s,-4.81 m,-5.97 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020528676841998074,0.001491604290396846,-1.58299288,-12 pixels,N/A,N/A,N/A
197.99 s,-4.81 m,-5.98 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00195319341210076,0.00155062535535075,-1.583091088,-12 pixels,N/A,N/A,N/A
198.12 s,-4.81 m,-5.99 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019319431929383643,-7.76E-06,-1.583173061,-12 pixels,N/A,N/A,N/A
198.24 s,-4.81 m,-6.00 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018720843904194396,-0.00206561,-1.583130369,-13 pixels,N/A,N/A,N/A
198.36 s,-4.81 m,-6.01 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019015896113894516,-0.001080526,-1.583166562,-13 pixels,N/A,N/A,N/A
198.48 s,-4.81 m,-6.02 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018673668343529922,0.0008981698457030124,-1.583155275,-12 pixels,N/A,N/A,N/A
198.61 s,-4.81 m,-6.03 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018472784359913153,0.0006441521526794941,-1.583218549,-12 pixels,N/A,N/A,N/A
198.73 s,-4.81 m,-6.04 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001809695991235399,-0.002403895,-1.583251793,-12 pixels,N/A,N/A,N/A
198.85 s,-4.81 m,-6.05 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0018810594997396254,-0.001685896,-1.583381843,-12 pixels,N/A,N/A,N/A
198.98 s,-4.81 m,-6.06 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0018817437115380446,0.0010434502973494185,-1.583458151,-11 pixels,N/A,N/A,N/A
199.1 s,-4.80 m,-6.07 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002020599545847311,0.00041352601738048155,-1.583489261,-10 pixels,N/A,N/A,N/A
199.22 s,-4.80 m,-6.08 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0021498281725674307,-0.000114251,-1.583493217,-11 pixels,N/A,N/A,N/A
199.34 s,-4.80 m,-6.10 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.00218798279193971,0.0006992053955924188,-1.583589533,-10 pixels,N/A,N/A,N/A
199.47 s,-4.80 m,-6.10 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0021510781178166933,0.0019023527388826599,-1.583692738,-9 pixels,N/A,N/A,N/A
199.59 s,-4.80 m,-6.12 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002203684230002991,0.0032564741151727967,-1.583725855,-8 pixels,N/A,N/A,N/A
199.71 s,-4.80 m,-6.13 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002247139202267015,0.0035458133231827467,-1.583927132,-8 pixels,N/A,N/A,N/A
