Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad)
171.99,1.0507022495498093,5.173705250702168,0.48092590642190336,-0.1033722840621322,0.01637891286319201,-0.00031724087010698125,0.0020042906782878163,0.0008127077320247984,2.9935366397714676
171.99,1.050599025935485,5.173722032286754,0.480925585990009,-0.10337657848870312,0.016374338152244153,-0.00032026951165933267,0.0020047591135987416,0.0008105243677883659,2.9935360457944618
172.01,1.04904917977155,5.173973976272648,0.4809207384379231,-0.10333857279833814,0.016274672147701733,-0.0003286070245595952,0.0020017029085010163,0.0007732855338612811,2.993536148575215
172.11,1.0386806753271645,5.175559507445974,0.48087837059452154,-0.1032721920816423,0.015772557081139393,-0.000544575149860331,0.001816504631208569,0.0008938044611642197,2.993473831731831
172.22,1.0287035646868987,5.177063852878417,0.48082842651808794,-0.10315430921048732,0.015220733686058512,-0.0005284239368153286,0.001992249599649263,0.0008617573721846405,2.993447950957547
172.33,1.0177290990004333,5.178621865050993,0.4807611573909438,-0.10298938366941361,0.014822031669776707,-0.0007408095713060149,0.0017666028402580965,0.001078706191563274,2.9933814712784566
172.43,1.0080976150792644,5.179976929069469,0.48068831410257656,-0.10284054698919139,0.014605467301610135,-0.0007866069734938797,0.00200912663870998,0.001177082905498567,2.9933151834704836
172.56,0.9462602356160619,5.188603738829917,0.47992680783718833,-0.10211189564520808,0.014532973227880311,-0.0015656711903752234,0.0019842087246824632,0.0014807399384433545,2.9929326411437884
173.07,0.9457492209112248,5.188672344175619,0.4799189655231211,-0.10211778893217725,0.014522325556629878,-0.0015721424475957473,0.0019849810758358127,0.001501774575884637,2.9929275091869916
173.08,0.9452383705275283,5.188742109787381,0.4799110907907512,-0.10209195678012253,0.014526916696156515,-0.001577902469550276,0.001985467952712757,0.0015163542009522472,2.9929223627516355
173.08,0.9446249372152542,5.188827078319083,0.47990161173069584,-0.10209617769567485,0.014488179738141099,-0.001582214234324593,0.0019827577730457367,0.001527518247094149,2.9929172537375943
173.09,0.9443182362206451,5.188870451519559,0.4798968608976425,-0.10207669112640338,0.014503106517486517,-0.0015838961730890793,0.0019805429766495833,0.0015284643183169522,2.9929153697488733
173.09,0.9437045370933494,5.188958177741416,0.47988734403508204,-0.1020817522724018,0.014468783304993753,-0.001587985956567667,0.001973826294395609,0.0015251316422810303,2.9929090710500774
173.18,0.9364430497861532,5.189980199152424,0.4797712584384757,-0.10197842426528328,0.014584377406934416,-0.0017324962699797036,0.0018898624023766396,0.001602848821362798,2.992829620076748
173.29,0.9263885118606227,5.191457219888298,0.4796024541516779,-0.1018472805393701,0.014821636590769178,-0.0016647981667837625,0.0020532625635203195,0.0014593186609960262,2.9927564755708422
173.40,0.9159682870744806,5.192960774735789,0.47943253716724665,-0.10173785941241796,0.014822116437732857,-0.0016739203549894497,0.00186723055813235,0.0015365141151399996,2.992667518222594
173.50,0.9056094790456777,5.1945088471593355,0.47925995254787196,-0.10153340659059969,0.015022933201917372,-0.0016497444631732427,0.0018929072420079266,0.0013972638115531276,2.992573874456545
173.61,0.8474637811895299,5.203212754834546,0.47858819775592265,-0.10082299070087133,0.014915676861907699,-0.0005796918168184065,0.0021060336653487793,0.0010820981308479296,2.9920923634561234
174.12,0.8473633528105047,5.203227808386803,0.4785876238452181,-0.10082247035326043,0.014916529045902896,-0.0005744787467615896,0.00210792596933642,0.0010811062171593182,2.9920944216341923
174.12,0.8467604726615805,5.203317318484176,0.4785842880845349,-0.10082145952836047,0.01492925979915597,-0.0005438913029241069,0.002118245140154765,0.0010798484611382702,2.9921084991602536
174.13,0.8466599440177274,5.203332058770068,0.47858375068207465,-0.10082488538901607,0.014924699915267804,-0.0005382307415832399,0.0021198869384821024,0.0010805614753920728,2.9921102997498132
174.13,0.846257835960097,5.2033909014336714,0.478581666201504,-0.10082129742871268,0.01492404993348246,-0.0005113591294349359,0.002126561707529413,0.001083953395525906,2.9921162814900755
174.14,0.845049834477849,5.203566868117158,0.47857590214719137,-0.10082421941456605,0.014889443882254966,-0.00046678594613845306,0.0021383214560496046,0.0010974409376720924,2.9921288747638544
174.31,0.82948897236183,5.205845562455418,0.47849821122039543,-0.10084662084662235,0.014458996248965263,-0.000420802024783482,0.00196227404983585,0.0010364486826283858,2.9918888541759086
174.36,0.8247520503052351,5.206522035426158,0.47848474289859694,-0.10078104345209198,0.014364254344921905,-0.00019189326538568977,0.0019697908317644376,0.0010470409548673733,2.9919236419327984
174.47,0.8143378750536783,5.20799285504293,0.47847171303219993,-0.10066553897799879,0.014035752162898839,-8.799811220128543e-05,0.0017585190018129244,0.0010395868646437161,2.9918241338680116
174.57,0.8049109304653856,5.209325185895384,0.4784674794372856,-0.10048340868895811,0.013667065446213145,6.585184499370914e-05,0.001875641220755988,0.0008680284498663873,2.9916746231051463
174.68,0.7468678314078931,5.216435229555925,0.4786438695113358,-0.09989458041930675,0.010910165016363564,0.0003955574197292023,0.0020151477712385514,0.0008389829761161,2.991061436134171
175.19,0.7467681147394067,5.21644573630094,0.47864426898023044,-0.09988825146966768,0.010908850650103073,0.00039869307555686495,0.0020163295863370144,0.0008408853944766419,2.991058885884078
175.20,0.7464687585076831,5.2164773012178705,0.4786454851908718,-0.09989386836047946,0.010909343413170682,0.000407916911545752,0.0020188119028736145,0.0008465412392816006,2.991049881019076
175.20,0.7462691705237282,5.216498241400162,0.4786463113657884,-0.09990534069316312,0.010893834363856983,0.00041378546803867873,0.002020583227544161,0.0008507131174281127,2.9910435506524284
175.20,0.7460697027759888,5.216519284626,0.4786471475676123,-0.09990202112641915,0.010866752792404693,0.00041846696240221997,0.0020228552869410612,0.0008540019863996534,2.991036882088036
175.22,0.7444727229087474,5.216689827630556,0.4786543856534752,-0.09989635543082254,0.010803822104188976,0.0004951524346031577,0.002031672467994954,0.0008671420751381338,2.990997899770306
175.32,0.7345747497275145,5.217712954294197,0.4787125082314724,-0.09990192219710195,0.01053430182582836,0.00047999021030511687,0.002006389738348801,0.0010416112720429166,2.9908769425471737
175.42,0.7250019019422985,5.218706857548372,0.47875627690401507,-0.09990164767112085,0.010335818699154847,0.0005784280454578291,0.002099309715527505,0.0010652581203569296,2.9907836619630808
175.53,0.7149813911800627,5.2197151324965985,0.4788232059430632,-0.09987659829514002,0.010238593164493787,0.0005316043326696589,0.0019511101664270267,0.001194485487199019,2.9907374083291303
175.64,0.7045010477213401,5.220786353549173,0.47887901456502246,-0.09975466355020016,0.010156668546716546,0.0006003752795819935,0.0019625497363404284,0.0011923611507629038,2.9906317398007256
175.75,0.6476976183273575,5.226771155611428,0.47929871899449006,-0.09880252028147496,0.011458102329672981,0.0008898435984099321,0.002157155653731868,0.001640476767778,2.990275639241781
176.26,0.6476976183273575,5.226771155611428,0.47929871899449006,-0.09880252028147496,0.011458102329672981,0.0008898435984099321,0.002157155653731868,0.001640476767778,2.990275639241781
176.26,0.6474016645590728,5.226805305987902,0.4793013913945372,-0.09880268506966258,0.011469905693394226,0.0008905483569642046,0.0021596611455069266,0.0016413895319017438,2.9902638873410017
176.27,0.6471057002256951,5.2268396179061964,0.4793040674635247,-0.09880824625372696,0.01146954880127726,0.0008927401672582257,0.002162060466454803,0.0016415047751814336,2.9902545797282953
